host_city_canonical,year_month,avg_temp_c,sum_cdd_c,sum_hdd_c,avg_rh_pct,sum_precip_hundredths_mm,day_station_rows
Boston,2020-06,20.121111111111116,723.4789000000003,238.61399999999992,70.73680629629631,68218.0,270
Boston,2020-07,23.97598566308244,1590.303099999999,18.3854,75.89781362007163,36988.1,279
Boston,2020-08,23.01426523297491,1322.7838999999994,25.288099999999996,71.48530681003585,41092.7,279
Boston,2020-09,18.029592592592586,398.2964000000002,485.53239999999994,71.18151962962963,36434.0,270
Boston,2020-10,12.148028673835123,19.8479,1748.7351000000003,76.9749261648745,106334.0,279
Boston,2020-11,8.583888888888891,4.6251,2637.6976000000004,70.70843703703706,103738.0,270
Boston,2020-12,2.2381720430107523,0.0,4507.572700000003,71.4320394265233,128733.0,279
Boston,2021-01,-0.2201792114695339,0.0,5166.393699999999,67.13383476702509,45384.7,279
Boston,2021-02,-0.7862698412698412,0.0,4822.540399999998,69.65083253968255,68460.6,252
Boston,2021-03,4.7728315412186415,0.3267,3793.3894999999984,55.48300752688171,47015.3,279
Boston,2021-04,9.591629629629624,0.0,2365.5234000000005,62.69982148148149,75477.20000000001,270
Boston,2021-05,14.64107526881721,134.3675,1163.4930000000004,62.39540250896061,106753.4,279
Boston,2021-06,21.12311111111111,903.1668,145.7794,72.55197074074076,46240.09999999999,270
Boston,2021-07,22.03129032258065,1068.2582000000007,41.6503,81.3440376344086,167259.00000000003,279
Boston,2021-08,23.340788530465964,1403.6348000000005,5.5374,79.22258960573477,94938.7,279
Boston,2021-09,19.590740740740742,484.49619999999993,151.72369999999998,77.96577962962967,190865.69999999995,270
Boston,2021-10,14.843046594982079,22.928700000000003,998.5192999999996,78.53948136200715,121742.90000000001,279
Boston,2021-11,6.538888888888891,0.0,3184.427099999999,65.64249518518517,54599.3,270
Boston,2021-12,4.063189964157709,0.0,3968.0134999999987,68.96324229390679,47757.000000000015,279
Boston,2022-01,-1.9712544802867389,0.0,5655.269300000001,64.775735483871,60289.5,279
Boston,2022-02,0.8687301587301595,0.0,4411.526000000001,67.23120515873013,90653.69999999998,252
Boston,2022-03,5.269999999999997,0.0,3636.3786000000005,63.03993189964159,57758.40000000003,279
Boston,2022-04,9.48425925925926,1.4144,2396.9529,58.81971111111109,87117.6,270
Boston,2022-05,15.821433691756283,249.47779999999997,945.1045000000005,68.53523082437275,46654.60000000002,279
Boston,2022-06,19.146444444444445,385.28170000000006,169.15389999999996,69.64414037037038,67805.2,270
