MARKET,spend_domain,year_month,spend_amount,trans_count,brand_count
Boston,Energy,2020-12,29149298.0528,632649.7035999999,47
Boston,Food,2020-12,1081938.6737000002,59834.33159999999,27
Boston,Lodging,2020-12,285039.6692,1318.5327999999997,9
Boston,Energy,2021-01,24980931.977399997,590956.2538000001,49
Boston,Food,2021-01,1081998.8514999996,59080.35209999999,26
Boston,Lodging,2021-01,333178.8794,1568.3712,9
Boston,Energy,2021-02,22801442.69539999,530646.5040999999,46
Boston,Food,2021-02,1004078.561,54080.3749,26
Boston,Lodging,2021-02,359698.8539,1590.5189,9
Boston,Energy,2021-03,26835300.368399996,624078.7730999999,45
Boston,Food,2021-03,1190387.3193,65816.64860000001,24
Boston,Lodging,2021-03,453788.44229999994,2132.2418000000002,9
Boston,Energy,2021-04,26961751.047900002,621045.6563000001,44
Boston,Food,2021-04,1195234.5388000002,64675.839700000004,26
Boston,Lodging,2021-04,597448.6649999999,2487.9314,9
Boston,Energy,2021-05,28956195.815999996,681331.0838999999,47
Boston,Food,2021-05,1211961.0184000004,67758.24369999999,27
Boston,Lodging,2021-05,549621.1257,2647.3530000000005,8
Boston,Energy,2021-06,28383073.018000007,670966.0798000001,46
Boston,Food,2021-06,1152005.4907,62896.96689999998,25
Boston,Lodging,2021-06,586926.3064000001,3048.8635000000004,9
Boston,Energy,2021-07,28998034.0537,696035.5896999999,48
Boston,Food,2021-07,1205373.3349000001,65857.09959999999,27
Boston,Lodging,2021-07,763101.6494999998,3265.5702,9
Boston,Energy,2021-08,29579222.413300008,711910.9074000003,47
Boston,Food,2021-08,1149663.4072999998,63465.08259999999,25
Boston,Lodging,2021-08,865566.3374999999,3437.2199,9
Boston,Energy,2021-09,28175217.837399997,675798.4742999999,44
Boston,Food,2021-09,1145659.1940000001,62354.846799999985,27
Boston,Lodging,2021-09,805054.4388000001,3231.489000000001,9
Boston,Energy,2021-10,30223996.377800003,706354.6600999997,46
Boston,Food,2021-10,1242682.7423000003,65811.0619,23
Boston,Lodging,2021-10,836667.1617000002,3614.7926000000007,8
Boston,Energy,2021-11,31459561.610599995,698335.2046000004,46
Boston,Food,2021-11,1240886.6653999998,65241.985400000005,25
Boston,Lodging,2021-11,724194.1716,3169.983399999999,9
Boston,Energy,2021-12,35100698.8455,755353.5613000002,43
Boston,Food,2021-12,1250798.2603,65396.43729999999,27
Boston,Lodging,2021-12,853291.7294000001,3447.5090999999998,9
Boston,Energy,2022-01,28991215.8997,664281.6028,46
Boston,Food,2022-01,1127289.9006999999,59856.102100000004,25
Boston,Lodging,2022-01,654989.7037999999,2379.7569,9
Boston,Energy,2022-02,27562859.161900006,619096.2363999999,47
Boston,Food,2022-02,1078867.7707999998,56018.09520000001,24
Boston,Lodging,2022-02,568610.0760000001,3048.0262000000002,10
Boston,Energy,2022-03,32468864.442800015,703562.4401999998,47
Boston,Food,2022-03,1171672.817,63902.02120000001,25
Boston,Lodging,2022-03,915422.7407,3568.6683000000003,10
Boston,Energy,2022-04,33108998.246100005,703497.4911000001,45
Boston,Food,2022-04,1238270.5112,65510.77200000001,26
Boston,Lodging,2022-04,1137309.0233,4629.140399999999,9
Boston,Energy,2022-05,35799661.9064,770446.2480000001,47
Boston,Food,2022-05,1239161.1676,65719.4992,27
Boston,Lodging,2022-05,937094.3822000002,4255.906599999999,9
Boston,Energy,2022-06,36447599.6383,749998.1826,46
Boston,Food,2022-06,1252010.0479000001,65385.958900000005,23
Boston,Lodging,2022-06,869507.4117,4199.7233,9
Boston,Energy,2022-07,39031465.539799996,813829.7341000001,44
Boston,Food,2022-07,1232641.3053000001,64322.618,23
Boston,Lodging,2022-07,1097579.0233999998,4358.5025,9
Boston,Energy,2022-08,36834621.1614,810475.3707000001,47
Boston,Food,2022-08,1254403.7315,65779.16560000001,25
Boston,Lodging,2022-08,1251158.5409,4649.5551,9
Boston,Energy,2022-09,33586492.252399996,762221.3206999999,46
Boston,Food,2022-09,1223426.2189999998,63089.80960000001,25
Boston,Lodging,2022-09,1006970.9127000001,4064.9658,8
Boston,Energy,2022-10,34961823.31200001,782748.6884999999,46
Boston,Food,2022-10,1360516.0285,70730.08919999999,22
Boston,Lodging,2022-10,1079955.0044999998,4381.9193,8
Boston,Energy,2022-11,36470543.32779999,764118.3140999998,47
Boston,Food,2022-11,1365065.9258000003,65926.51379999999,25
Boston,Lodging,2022-11,800403.4021999998,4227.6236,8
Boston,Energy,2022-12,39716853.42119999,804210.5936999996,47
Boston,Food,2022-12,1405272.2469,66760.9168,25
Boston,Lodging,2022-12,863993.9423,4043.6825999999996,8
Boston,Energy,2023-01,31859287.187400017,726407.9146000004,45
Boston,Food,2023-01,1210460.5396999998,58853.0525,24
Boston,Lodging,2023-01,850163.8769000003,3912.795,10
Boston,Energy,2023-02,28840669.385399997,655940.0016000002,44
Boston,Food,2023-02,1178603.5315,59383.2891,25
Boston,Lodging,2023-02,769286.0932,3333.6247,8
Boston,Energy,2023-03,30940871.032299995,701724.6166,48
Boston,Food,2023-03,1308735.4111999997,67201.3488,25
Boston,Lodging,2023-03,1031811.9140999998,4330.9303,9
Boston,Energy,2023-04,32857321.880300008,715495.686,46
Boston,Food,2023-04,1328330.8561,67332.933,23
Boston,Lodging,2023-04,1134823.9583,4785.735299999999,9
Boston,Energy,2023-05,35001776.22099998,791605.9445000001,48
Boston,Food,2023-05,1357434.0278,67921.7506,25
Boston,Lodging,2023-05,1418502.8798,5237.584599999999,8
Boston,Energy,2023-06,36541096.96560001,816032.3496000001,40
Boston,Food,2023-06,1404211.5592000003,67909.66820000001,24
Boston,Lodging,2023-06,1010945.8639999998,4353.534599999999,8
